id,input_tokens,output_tokens,total_tokens,y_actual,y_pred
118,245,265,510,199999.0,299900
119,229,249,478,167900.0,130000
120,230,250,480,289000.0,224900
121,232,252,484,479199.0,529900
122,245,265,510,75000.0,100000
123,245,265,510,949000.0,749000
124,244,264,508,178000.0,279900
125,244,264,508,201500.0,359900
126,245,265,510,449000.0,549000
127,245,265,510,485000.0,429900
128,242,262,504,80000.0,650000
129,244,264,508,45900.0,149900
130,244,264,508,210000.0,145000
131,245,265,510,195000.0,299000
132,242,262,504,38500.0,50000
133,245,265,510,625000.0,375000
134,242,262,504,265000.0,249900
135,230,250,480,750000.0,315000
136,246,266,512,423850.0,489900
137,240,260,500,2325000.0,199000
138,229,249,478,474900.0,429900
139,246,266,512,144900.0,119000
140,248,268,516,289000.0,350000
141,246,266,512,420000.0,215000
142,243,263,506,289900.0,379900
143,225,245,470,849000.0,895000
144,244,264,508,399900.0,339900
145,229,249,478,159750.0,399000
146,244,264,508,254900.0,187000
147,231,251,482,295000.0,499000
148,245,265,510,125000.0,139900
149,228,248,476,395000.0,200000
150,227,247,474,105075.0,65000
151,244,264,508,1595000.0,1988000
152,244,264,508,399900.0,460000
153,232,252,484,401490.0,419000
154,241,261,502,264900.0,139900
155,244,264,508,20000.0,12900
156,244,264,508,1225000.0,2200000
157,241,261,502,32000.0,25000
158,244,264,508,435000.0,249900
159,247,267,514,350000.0,509900
160,230,250,480,169900.0,749000
161,246,266,512,265000.0,168000
162,243,263,506,3500000.0,230000
163,247,267,514,79900.0,80000
164,245,265,510,1150000.0,815000
165,246,266,512,815000.0,590000
166,229,249,478,1175000.0,430000
167,244,264,508,748000.0,425000
168,228,248,476,149900.0,49900
169,244,264,508,559000.0,899000
170,231,251,482,395000.0,1599000
171,243,263,506,630000.0,499900
172,231,251,482,1148000.0,725000
173,246,266,512,1299000.0,484000
174,246,266,512,170000.0,179000
175,244,264,508,120000.0,239000
176,246,266,512,1000000.0,1000000
177,244,264,508,325000.0,174900
178,246,266,512,268369.0,269900
179,244,264,508,375000.0,449900
180,243,263,506,335000.0,325000
181,244,264,508,160000.0,49900
182,246,266,512,54500.0,349900
183,246,266,512,475000.0,475000
184,239,259,498,350000.0,650000
185,246,266,512,370000.0,569900
186,249,269,518,602100.0,450000
187,243,263,506,400000.0,400000
188,245,265,510,392000.0,459900
189,243,263,506,30000.0,17500
190,245,265,510,1150000.0,599999
191,244,264,508,78000.0,105000
192,245,265,510,798000.0,579900
193,245,265,510,419000.0,419000
194,229,249,478,178000.0,124900
195,230,250,480,349000.0,380000
196,241,261,502,220000.0,450000
197,244,264,508,389000.0,359000
198,231,251,482,582990.0,459900
199,229,249,478,220000.0,315000
